Description,ASIN,Product_Description,Manufacturer
Care Instructions: Hand Wash OnlyCompact and lightweight travel backpack can be easily placed under the airline seat.<br>; Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.<br><br>Bag size is 42X30X12 CM. and maximum length of laptop can fit is15 inch .<br>; Pocket Description: Utility Pocket; Age Range Description: Kid; Closure Type: Zipper; Pattern Name: Solid<br><br>Pattern Name: Solid; Age Range Description: Kid; Closure Type: Zipper; Pocket Description: Utility Pocket<br>Compartment Description: Up To 15 Inches; Special Features: Zip Closure; Material Type: Polyester<br>,ASIN : B0822H451W,,Manufacturer : GOCART WITH G LOGO
"Fit Type: regularROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartment having the capacity of approx 40 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser(small pockets inside a office bag for men / office bag for women).COMFORT WITH QUALITY: This backpack for men has wide, padded and adjustable shoulder straps and padded back for comfort in carrying heavy items. The College Bags for men is stitched properly and Bartacks on every pressure point for extra durability. The backpack for men is made with strong yet light weight polyester fabric with heavy zippers. The laptop bag for men also comes with a Rain cover so that you can travel during rainy season without any problem.PROUDLY MADE IN INDIA: Half Moon laptop bag for men is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this college bags for men is Made in India by Indians using Indian materials.QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this Rucksack is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure points for extra strength.OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",ASIN : B09S14TTG6,"This backpack is lightweight water-resistant, capacity of approx 40 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for all your requirements also having a Rain cover.",Manufacturer : Half_Moon
"Care Instructions: Hand Wash OnlyFit Type: regularOuter Material: Polyester, Color: BlackWater Resistance: Water resistantCapacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",ASIN : B075MK4TXP,Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape.,Manufacturer : Gear Merchandise PVT LTD
"Care Instructions: Wipe with Dry ClothSPACIOUS AND LIGHTWEIGHT: 30L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippersERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warrantyWATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks",Item model number : IMP linear Navy blue,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs",ASIN : B0CJJ15CM7
Material: Water Resistant Strong PolyesterCompartments: 2 with paddingLaptop Size: 15.6 inch and belowDimensions: LxWxH - 11 x 6 x 18 inchesReflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover,ASIN : B0BPVLXD53,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.",Manufacturer : ADISA
"Care Instructions: Hand Wash OnlyFit Type: regularHandcrafted with care and made up of premium quality robust materialWrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggageRight sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warrantyGRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh",ASIN : B0B691HSL3,"If you feel all backpacks are just the same old boring black and grey bags, read on. Especially if you are stylish and are looking for one that will complement your style. This handcrafted uppercase RollTop Laptop Backpack is the perfect stylish, sleek, and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack your other essentials. It is visually striking with a classic European design. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Spacious compartment that can carry 3+ A4-sized books or a set of clothes, and all your essential chargers and electronics. - Internal organiser to store your power bank and cables. - Front access pocket to easily carry important small items. - Bottle holder on the side. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Superior material quality - Premium Nylon-sheen fabric gives the backpack a smooth and glossy feel that is a joy to touch. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Roll Top Laptop Backpack bought helps reduce 9 1-litre plastic bottles from the planet, helps conserve 117ml of crude oil, and prevents 584g of CO₂ emission. * *Approximate calculations based on information available on www.textilevaluechain.in",Manufacturer : Acefour Accessories Pvt. Ltd.
Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippersRight sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm),ASIN : B0BC48NDJP,,Manufacturer : Acefour Accessories Pvt. Ltd.
"Care Instructions: Hand Wash OnlyFit Type: regularThe front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisexLAPTOP BACKPACK SPECIFICATIONS - Men's NEO Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.NEO padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses.",ASIN : B0C2D2Q52R,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.",Manufacturer : Tabelito Trade India
"Care Instructions: Wipe with Dry ClothSPACIOUS AND LIGHTWEIGHT: 30L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippersERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warrantyWATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks",Item model number : Diggy Green,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs",ASIN : B0CJHVCZZV
"COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499gHIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important itemsCONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day useCONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",ASIN : B0BL3S5NC1,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Manufacturer : Northzone
"Care Instructions: Machine WashFit Type: regularSleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",ASIN : B0BS6QM2GD,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",Manufacturer : SHABA BAGS
"👶 🧡 HIGH QUALITY : Baby diaper bag for mother, maternity bag for travel, new mother bag is made of strong high quality fabric for a longer life. Handcuffs diaper bag has smart elegant design and color to match your classy choice. With shoulder straps and easy tote carrying handle, this maternity backpack is perfect for grab and go convenience, anywhere anytime.;Closure Type: Zipper; Style Name: Travel Backpacks; Color Name: Black Floral <br>👶 🧡 TRENDY & STYLISH : The design of the diaper bag is trendy and stylish so it can be used as diaper bag and can be used for regular use too. This diaper bag is not only multifunctional but it also looks stylish. Specifically designed to complement today's modern parents, its elegant color and design will surely add a plus point to anyone’s style statement. <br>👶 🧡 SMART ORGANIZATION : Handcuffs baby diaper bags backpack for travel featuring multiple pockets to store your baby's various necessities in different separate pockets, this maternity bag lets you keep things organized and make them easily accessible when required. This multifunctional diaper nappy maternity nursing bag / backpack can easily store your baby's milk bottle, water bottle, clothes, diapers, towel and much more. <br>👶 🧡 PERFECT GIFT : Handcuffs new parents backpack for baby essentials is perfect baby shower gift for a special new mommy, new father. We designed a compact diaper backpack that combines style, versatility and convenience. Suitable for many occasions like shopping, restaurant, traveling etc. Great for new mother gift, holiday gift , baby's suraj pooja gift etc. <br>👶 🧡 CONVENIENT : Travel multifunctional diaper bag backpack cum tote bag, two way carry lightweight & sturdy diaper bag can be used as backpack or tote bag. Convenient tissue pocket makes this a high utility diaper bag. Diaper bag backpack travel back pack nappy organizer multi-function, fashion and durable bag a fashionable backpack that can be carried by moms and dads alike. <br>",ASIN : B09413KB4K,"Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing

🖤 Going out with a baby requires you to be ready in any kind of messy situations. That is why, you need a trustable nappy bag to store all your baby's needs.

🖤 Multiple functionality, various compartments and spacious interior make this Diaper Bag an ideal companion for baby and parents on the go.

🖤 Pocket includes individualized storage compartments and zip close pocket to safely organize baby's necessities.

🖤 It is very roomy, can hold all your essential items for baby care, such as baby diaper, milk bottle, towel, water bottle, changing pad, snacks.

🖤 Portable unisex design, perfect gift for men / women / newborn / toddler/ twins / new mother / dad /parents

🖤 Not only diaper bag, it also can be used as weekend equipment, traveling & hiking backpack, casual daypack.",Manufacturer : Handcuffs
Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers,ASIN : B0B8NV9YX3,"Are you bored with the same old U-shaped backpacks? Are you bored about seeing backpacks that are as thin as sheets of paper? Do you frequently travel away from home for a couple of days? This handcrafted uppercase multi-utility backpack is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 14"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is an ideal everyday backpack. Designed with care.Spacious compartment that can carry 10+ A4-sized books, a set of clothes, and all your essential chargers and electronics. Front access pocket for you to easily carry important small items. Bottle holder on the side. Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys.Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every uppercase multi-utility laptop backpack bought helps reduce 10 1-litre plastic bottles from the planet, helps conserve 130ml of crude oil, and prevents 649g of CO₂ emission.",Manufacturer : Acefour Accessories Pvt. Ltd.
"Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Weight: 596 g, Dimensions: 48 x 33 x 23 cm Warranty: 12 months· 3 Super Spacious Compartment: Multiple compartments ensuring better organization. Store anything to everything. It can fit plenty! · Laptop Sleeve: Ensure that your laptop is stored separately and Securely! · Multi-level Organizer: Keep every single item separately in an arranged manner. · 1 side pocket: For holding water bottle, clipping pens or pencil or storing other items. · 1 Front Pocket: Easily accessible pocket to keep all your essentials such as wallet, ticket, cosmetics.Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load even after keeping the laptop inside.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!Light Weight yet Durable to resist the weight of laptop, journals, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.Stylish & Cute: This bag is designed for those Millennials and GenZ, who do not want to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.",ASIN : B097PGGTNJ,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Moonlight School Bag.",Manufacturer : Safari
"Oxo-Biodegradable Garbage Bags for your home and kitchenConvenient for clean-up and garbage disposalMultifunctional use; ideal for office, hotels, parties, household cleaning or storageDetachable tie-tape to tie up bag after useDimensions - 76 cms x 94 cms; Size: XLPackage Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 10 per roll; Colour: Black",Item model number : PrestoOBD-XL10bagsPO6,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! XL in size, they easily fit any extra large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 10 bags for your convenience.",ASIN : B0821QGBDY
Fit Type: regularLightweight yet durable backpack/daypack for school use or everyday outingsFront storage pocket keeps smaller items neatly organized and easy to accessMesh pockets on both sides to accommodate your water bottle and umbrellaMesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defectsLining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult,ASIN : B09B26MB5M,,Manufacturer : Safari Industries
"Outer Material: Polyester, Color: BlueCapacity: 39 liters; Weight: 2330 grams; Dimensions: 55 x 29 x 30 cms (LxWxH)Lock Type: Butterfly Lock, Number of compartments: 1Laptop Compatibility: No,Warranty type: Manufacturer; 3 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchaseExtra pockets for better organizationStrong base for added support",Manufacturer : VIP Industries Ltd,Skybags Cardiff Polyester 55 cms Blue Travel Duffle (DFCAR55BLU),Date First Available : 30 June 2017
"Care Instructions: Hand Wash OnlyFit Type: slim[Multiple Pockets]-- Arctic Hunter original bag,100% guarantee, two-year warranty.1 Main Compartment with 7 inner pockets,includes 1 padded laptop pocket and 1 padded iPad pocket.1 front hidden compartment is anti-theft and large.2 sealed side pockets for umbrella and water bottle, these pockets is suitable for cell phone, 12-15.6 inch laptops, Ipad, books, magazines, pens, keys, wallets, clothes, bottles, folding umbrellas, etc. It makes your items organized and easier to find.[Water-resistant & Durable] -- This Laptop backpack is made of sturdy water-resistant polyester fabric with double metal zippers. The polyester fabric is soft yet solid, which makes the backpack scratch-resistant, anti-tear and water resistant. Ensure safe and long-lasting use. Perfect for business trips, weekend getaways, shopping, professional office work and other outdoor activities.[Ergonomics & Multifunction] -- The padded and breathable mesh back panel and the comfortable breathable mesh shoulder straps with abundant sponge pad help relieve stress from your shoulder. There is a suitcase strap in the back, which can be placed in the suitcase when traveling on business, and there is also an anti-theft pocket for storing important things in the anti-theft pocket.[USB Port Design] -- There is a USB port on the side of the backpack. Easily charge your phone, tablet and other devices without opening your backpack, and enjoy those moments of life listening to your favorite music or taking photos.[Multipurpose & Light-weight] -- This Backpack can be used as Laptop backpack, 15.6 inch portable backpack, college backpack, high school student backpack, travel backpack, night travel backpack, business laptop, men's and women's backpack, the weight is 800g, adopts lightweight and durable material, you are easy to carry it. Perfect for everyday use.",Item model number : B00478,,ASIN : B0BRZ7RQCF
"Fit Type: regularLarge multi-compartment backpack with a padded sleeve for laptops, can hold up to 17 inch laptop/notebookFront storage pocket keeps smaller items neatly organized and easy to accessMesh pockets on both sides to accommodate your water bottle and umbrellaMesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defectsAge Range Description: Adult; Lining Description: Polyester; Closure Type: Zipper; Special Features: Lightweight",ASIN : B09B27CYC4,"Safari Snap is a 35 Litres, 3 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Manufacturer : Safari Industries
Care Instructions: Hand Wash OnlyFit Type: regularA super sleek and casual 27L backpack. Ideal for college student or a day tour. Big enough to carry all your essentials. Sleek enough to carry it with ease,ASIN : B0B21YQX55,,"Manufacturer : VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
"Capicity: 21 Litres, Weight: 0.4kg; Dimensions: 45cmX29cmX16cm; Outer Material: Polyester; Inner Material: Polyester<br>Water Repellent: Yes; Laptop Compartment: Yes ; Compartments: 2,one front pocket to hold essentials and A mesh stash pocket on one side to accommodate a drinking bottle & other accessories.<br>Utility: Office, College, School, Camping, Weekend trip, Day trip<br>Accessories shown in the picture are not part of the bag.<br>Closure Type: Zipper; Strap Type: Adjustable; Age Range Description: Kid; Warranty Description: No Warranty; Style Name: Daypack Backpacks; Color Name: Blu-Wht; Water Resistance Level: Water Resistant<br>",Manufacturer : Rushi Enterprise,,Date First Available : 28 August 2018
"Care Instructions: Hand Wash OnlyErgonomic Shape : Spacious Compartments : Intuitive Access : Water Resistant : Light-weightFront Panel made of Premium Faux Leather Fabric : Cushioned Grab Handle : Padded Base : Optimized Back Panel with Premium Cushioning & Airflow Mechanism : Padded 360 Laptop Sleeve with Velcro Fastener Fits Laptop up to 17"" : Premium Long Lasting Zippers & Pullers : Compression Straps on the Sides for Keeping the Contents CompactZippered Quick Access Pocket : Elasticated Bottle Pocket : Embedded Organiser : Elasticated Trolley Sleeve on Back Panel",ASIN : B0BTJ2T26W,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality,Manufacturer : Gear Merchandise Pvt Ltd
"Care Instructions: Hand Wash OnlyFit Type: regularThe front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisexLAPTOP BACKPACK SPECIFICATIONS - Men's NEXA Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.NEXA padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses.",ASIN : B0C2D3YR7T,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.",Manufacturer : Tabelito Trade India
"Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust materialPadded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the sideWrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal OrganiserGRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",ASIN : B0BRMWDNZ7,,Manufacturer : Acefour Accessories Pvt. Ltd.
